Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2018,FL,Florida,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),41.1,,,34.8,47.6,687029,,,
2018,FL,Florida,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),37.2,,,29.6,45.5,320917,,,
2018,GA,Georgia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),42.6,,,38.8,46.5,410646,,,
2018,GA,Georgia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),31.3,,,24.4,39.1,118229,,,
2018,GA,Georgia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),35.5,,,30.4,40.9,324122,,,
2018,GA,Georgia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),34.6,,,28.8,41,148791,,,
2018,HI,Hawaii,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),18.2,,,14.1,23.2,16639,,,
2018,HI,Hawaii,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),11.7,,,7.6,17.6,7746,,,
2018,HI,Hawaii,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),14.9,,,10.3,21.2,16256,,,
2018,HI,Hawaii,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),16.1,,,11,22.8,6876,,,
2018,ID,Idaho,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),31.3,,,25.2,38.1,43794,,,
2018,ID,Idaho,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,ID,Idaho,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),27.6,,,18.2,39.4,26138,,,
2018,ID,Idaho,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),36.9,,,21.8,55.2,16834,,,
2018,IL,Illinois,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),29.5,,,24.1,35.5,249140,,,
2018,IL,Illinois,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),29.4,,,18.3,43.7,69299,,,
2018,IL,Illinois,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),29.4,,,22.5,37.4,216863,,,
2018,IL,Illinois,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),31.5,,,22.7,41.8,111196,,,
2018,IN,Indiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),27.4,,,23.3,31.8,157334,,,
2018,IN,Indiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),23,,,16.9,30.6,55037,,,
2018,IN,Indiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),28.8,,,23.2,35.2,139567,,,
2018,IN,Indiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),27.9,,,20.6,36.6,61817,,,
2018,IA,Iowa,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),18.1,,,15.1,21.6,37774,,,
2018,IA,Iowa,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),21.4,,,15.2,29.3,16873,,,
2018,IA,Iowa,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),18.1,,,13.3,24.1,34007,,,
2018,IA,Iowa,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),21.2,,,13.9,31.1,13458,,,
2018,KS,Kansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),31.1,,,27.3,35.2,70938,,,
2018,KS,Kansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),18.4,,,12.1,27,19136,,,
2018,KS,Kansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),27.4,,,22.8,32.6,58582,,,
2018,KS,Kansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),30.6,,,23.6,38.5,20345,,,
2018,KY,Kentucky,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),26.1,,,21.8,30.8,137755,,,
2018,KY,Kentucky,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),23,,,16.6,30.9,65199,,,
2018,KY,Kentucky,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),22.3,,,17.7,27.8,130575,,,
2018,KY,Kentucky,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),18.1,,,13,24.6,48441,,,
2018,LA,Louisiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),28.2,,,24,32.7,160506,,,
2018,LA,Louisiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),31,,,22.1,41.6,67146,,,
2018,LA,Louisiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),32.4,,,25.8,39.9,153888,,,
2018,LA,Louisiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),30.7,,,23.1,39.7,63719,,,
2018,ME,Maine,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),24.9,,,20.3,30.1,33492,,,
2018,ME,Maine,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),27.3,,,19.2,37.2,10484,,,
2018,ME,Maine,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),24.4,,,18.4,31.6,25354,,,
2018,ME,Maine,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),28.3,,,19.5,39.1,11964,,,
2018,MD,Maryland,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),27.1,,,23.3,31.3,111740,,,
2018,MD,Maryland,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),25.1,,,15.7,37.5,30297,,,
2018,MD,Maryland,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),23,,,18.4,28.2,87229,,,
