NAME,B19013_001E,state,county
"Blaine County, Nebraska",50870.0,31,009
"Buffalo County, Nebraska",56952.0,31,019
"Deuel County, Nebraska",48500.0,31,049
"Hitchcock County, Nebraska",42902.0,31,087
"Platte County, Nebraska",62617.0,31,141
"Thayer County, Nebraska",50734.0,31,169
"Box Butte County, Nebraska",56412.0,31,013
"Churchill County, Nevada",51514.0,32,001
"Douglas County, Nevada",62503.0,32,005
"Pershing County, Nevada",50846.0,32,027
"Esmeralda County, Nevada",40000.0,32,009
"Humboldt County, Nevada",70373.0,32,013
"Mineral County, Nevada",41163.0,32,021
"White Pine County, Nevada",62993.0,32,033
"Elko County, Nevada",77209.0,32,007
"Lincoln County, Nevada",56414.0,32,017
"Nye County, Nevada",45711.0,32,023
"Storey County, Nevada",62284.0,32,029
"Washoe County, Nevada",61155.0,32,031
"Clark County, Nevada",56802.0,32,003
"Carson City, Nevada",52034.0,32,510
"Lyon County, Nevada",55493.0,32,019
"Cheshire County, New Hampshire",63057.0,33,005
"Merrimack County, New Hampshire",72478.0,33,013
"Grafton County, New Hampshire",63153.0,33,009
"Rockingham County, New Hampshire",90429.0,33,015
"Belknap County, New Hampshire",68368.0,33,001
"Sullivan County, New Hampshire",60780.0,33,019
"Hillsborough County, New Hampshire",78655.0,33,011
"Strafford County, New Hampshire",70650.0,33,017
"Coos County, New Hampshire",45696.0,33,007
"Carroll County, New Hampshire",61116.0,33,003
"Monmouth County, New Jersey",95699.0,34,025
"Sussex County, New Jersey",90520.0,34,037
"Cumberland County, New Jersey",52593.0,34,011
"Essex County, New Jersey",59302.0,34,013
"Ocean County, New Jersey",68021.0,34,029
"Gloucester County, New Jersey",85160.0,34,015
"Salem County, New Jersey",64309.0,34,033
"Passaic County, New Jersey",66476.0,34,031
"Camden County, New Jersey",67118.0,34,007
"Bergen County, New Jersey",95837.0,34,003
"Warren County, New Jersey",78145.0,34,041
"Hudson County, New Jersey",66289.0,34,017
"Burlington County, New Jersey",84992.0,34,005
"Morris County, New Jersey",111316.0,34,027
"Rio Arriba County, New Mexico",,35,039
"San Miguel County, New Mexico",31660.0,35,047
