NAME,state,county,Estimate!!Total
"Hall County, Nebraska",31,079,61343.0
"Otoe County, Nebraska",31,131,15896.0
"Red Willow County, Nebraska",31,145,10806.0
"Dawes County, Nebraska",31,045,8896.0
"Cheyenne County, Nebraska",31,033,9852.0
"Dawson County, Nebraska",31,047,23804.0
"Valley County, Nebraska",31,175,4224.0
"McPherson County, Nebraska",31,117,454.0
"Nance County, Nebraska",31,125,3554.0
"Stanton County, Nebraska",31,167,5992.0
"Harlan County, Nebraska",31,083,3438.0
"Blaine County, Nebraska",31,009,480.0
"Buffalo County, Nebraska",31,019,49030.0
"Deuel County, Nebraska",31,049,1894.0
"Hitchcock County, Nebraska",31,087,2843.0
"Platte County, Nebraska",31,141,33063.0
"Thayer County, Nebraska",31,169,5098.0
"Box Butte County, Nebraska",31,013,11089.0
"Churchill County, Nevada",32,001,24010.0
"Douglas County, Nevada",32,005,47828.0
"Pershing County, Nevada",32,027,6611.0
"Esmeralda County, Nevada",32,009,981.0
"Humboldt County, Nevada",32,013,16904.0
"Mineral County, Nevada",32,021,4448.0
"White Pine County, Nevada",32,033,9737.0
"Elko County, Nevada",32,007,52252.0
"Lincoln County, Nevada",32,017,5174.0
"Nye County, Nevada",32,023,43705.0
"Storey County, Nevada",32,029,3941.0
"Washoe County, Nevada",32,031,450486.0
"Clark County, Nevada",32,003,2141574.0
"Carson City, Nevada",32,510,54467.0
"Lyon County, Nevada",32,019,53155.0
"Cheshire County, New Hampshire",33,005,76263.0
"Merrimack County, New Hampshire",33,013,149452.0
"Grafton County, New Hampshire",33,009,89811.0
"Rockingham County, New Hampshire",33,015,305129.0
"Belknap County, New Hampshire",33,001,60640.0
"Sullivan County, New Hampshire",33,019,43125.0
"Hillsborough County, New Hampshire",33,011,411087.0
"Strafford County, New Hampshire",33,017,128237.0
"Coos County, New Hampshire",33,007,32038.0
"Carroll County, New Hampshire",33,003,47840.0
"Monmouth County, New Jersey",34,025,623387.0
"Sussex County, New Jersey",34,037,142298.0
"Cumberland County, New Jersey",34,011,153400.0
"Essex County, New Jersey",34,013,793555.0
"Ocean County, New Jersey",34,029,591939.0
"Gloucester County, New Jersey",34,015,290852.0
"Salem County, New Jersey",34,033,63336.0
"Passaic County, New Jersey",34,031,504041.0
