NAME,state,Estimate!!Total!!Female!!Under 6 years,Estimate!!Total!!Female!!Under 6 years!!With health insurance coverage,Estimate!!Total!!Female,Estimate!!Total!!Male!!55 to 64 years!!No health insurance coverage,Estimate!!Total!!Male!!65 to 74 years,Estimate!!Total!!Male!!55 to 64 years,Estimate!!Total!!Male!!55 to 64 years!!With health insurance coverage,Estimate!!Total!!Male!!75 years and over,Estimate!!Total!!Male!!75 years and over!!With health insurance coverage,Estimate!!Total!!Male!!65 to 74 years!!With health insurance coverage,Estimate!!Total!!Male!!65 to 74 years!!No health insurance coverage,Estimate!!Total!!Male!!75 years and over!!No health insurance coverage,Estimate!!Total!!Female!!26 to 34 years,Estimate!!Total!!Female!!35 to 44 years,Estimate!!Total!!Female!!35 to 44 years!!With health insurance coverage,Estimate!!Total!!Female!!26 to 34 years!!With health insurance coverage,Estimate!!Total!!Female!!26 to 34 years!!No health insurance coverage,Estimate!!Total!!Female!!6 to 18 years!!With health insurance coverage,Estimate!!Total!!Female!!6 to 18 years!!No health insurance coverage,Estimate!!Total!!Female!!Under 6 years!!No health insurance coverage,Estimate!!Total!!Female!!6 to 18 years,Estimate!!Total!!Female!!19 to 25 years!!No health insurance coverage,Estimate!!Total!!Female!!19 to 25 years,Estimate!!Total!!Female!!19 to 25 years!!With health insurance coverage,Estimate!!Total!!Female!!55 to 64 years!!No health insurance coverage,Estimate!!Total!!Female!!65 to 74 years,Estimate!!Total!!Female!!55 to 64 years!!With health insurance coverage,Estimate!!Total!!Female!!75 years and over,Estimate!!Total!!Female!!75 years and over!!With health insurance coverage,Estimate!!Total!!Female!!65 to 74 years!!With health insurance coverage,Estimate!!Total!!Female!!65 to 74 years!!No health insurance coverage,Estimate!!Total!!Female!!45 to 54 years!!With health insurance coverage,Estimate!!Total!!Female!!45 to 54 years!!No health insurance coverage,Estimate!!Total!!Female!!35 to 44 years!!No health insurance coverage,Estimate!!Total!!Female!!45 to 54 years,Estimate!!Total!!Female!!55 to 64 years,Estimate!!Total!!Female!!75 years and over!!No health insurance coverage,Estimate!!Total!!Male!!Under 6 years,Estimate!!Total!!Male!!Under 6 years!!With health insurance coverage,Estimate!!Total,Estimate!!Total!!Male,Estimate!!Total!!Male!!6 to 18 years!!With health insurance coverage,Estimate!!Total!!Male!!6 to 18 years!!No health insurance coverage,Estimate!!Total!!Male!!Under 6 years!!No health insurance coverage,Estimate!!Total!!Male!!6 to 18 years,Estimate!!Total!!Male!!19 to 25 years,Estimate!!Total!!Male!!45 to 54 years!!No health insurance coverage,Estimate!!Total!!Male!!19 to 25 years!!No health insurance coverage,Estimate!!Total!!Male!!26 to 34 years,Estimate!!Total!!Male!!19 to 25 years!!With health insurance coverage,Estimate!!Total!!Male!!35 to 44 years,Estimate!!Total!!Male!!35 to 44 years!!With health insurance coverage,Estimate!!Total!!Male!!26 to 34 years!!With health insurance coverage,Estimate!!Total!!Male!!26 to 34 years!!No health insurance coverage,Estimate!!Total!!Male!!45 to 54 years!!With health insurance coverage,Estimate!!Total!!Male!!35 to 44 years!!No health insurance coverage,Estimate!!Total!!Male!!45 to 54 years
North Carolina,37,356766.0,344428.0,5165798.0,60696.0,429598.0,606203.0,545507.0,242095.0,241277.0,426916.0,2682.0,818.0,599789.0,662211.0,555771.0,490247.0,109542.0,790777.0,45496.0,12338.0,836273.0,76392.0,469029.0,392637.0,64700.0,502580.0,614949.0,356134.0,354688.0,499436.0,3144.0,612797.0,90570.0,106440.0,703367.0,679649.0,1446.0,368715.0,355845.0,9952031.0,4786233.0,819780.0,50449.0,12870.0,870229.0,456321.0,100436.0,98211.0,548775.0,358110.0,608062.0,483976.0,408372.0,140403.0,555799.0,124086.0,656235.0
North Dakota,38,31068.0,29261.0,360097.0,3000.0,28826.0,47961.0,44961.0,19149.0,19113.0,28690.0,136.0,36.0,45373.0,40219.0,37130.0,40378.0,4995.0,53612.0,4238.0,1807.0,57850.0,4315.0,41606.0,37291.0,2177.0,29242.0,44123.0,26655.0,26625.0,29128.0,114.0,38798.0,2986.0,3089.0,41784.0,46300.0,30.0,31867.0,29408.0,736241.0,376144.0,58230.0,4786.0,2459.0,63016.0,44437.0,3868.0,4908.0,53343.0,39529.0,44008.0,39537.0,46273.0,7070.0,39669.0,4471.0,43537.0
Ohio,39,406053.0,388876.0,5871445.0,47432.0,496616.0,764961.0,717529.0,308026.0,306724.0,493604.0,3012.0,1302.0,666341.0,697286.0,646577.0,607291.0,59050.0,907792.0,42320.0,17177.0,950112.0,46870.0,531523.0,484653.0,47351.0,568293.0,772906.0,451136.0,449708.0,565148.0,3145.0,727219.0,53225.0,50709.0,780444.0,820257.0,1428.0,424014.0,405912.0,11468700.0,5597255.0,947208.0,45357.0,18102.0,992565.0,540022.0,62491.0,70325.0,651456.0,469697.0,672968.0,598338.0,552123.0,99333.0,684136.0,74630.0,746627.0
Oklahoma,40,154986.0,145007.0,1955247.0,31337.0,157089.0,229948.0,198611.0,97781.0,97570.0,155821.0,1268.0,211.0,236927.0,237319.0,189557.0,184735.0,52192.0,309140.0,29890.0,9979.0,339030.0,42682.0,183682.0,141000.0,33725.0,179043.0,215869.0,136997.0,136373.0,177899.0,1144.0,196154.0,41515.0,47762.0,237669.0,249594.0,624.0,162547.0,152421.0,3837568.0,1882321.0,322165.0,32104.0,10126.0,354269.0,188703.0,44343.0,51383.0,231662.0,137320.0,230516.0,179705.0,167188.0,64474.0,185463.0,50811.0,229806.0
Oregon,41,135251.0,131008.0,2048577.0,18465.0,194350.0,258984.0,240519.0,112968.0,112657.0,193175.0,1175.0,311.0,255070.0,264901.0,240835.0,226398.0,28672.0,300387.0,12958.0,4243.0,313345.0,17917.0,177803.0,159886.0,17093.0,214327.0,264098.0,150539.0,149993.0,213050.0,1277.0,234741.0,21409.0,24066.0,256150.0,281191.0,546.0,142226.0,137295.0,4042073.0,1993496.0,312864.0,13574.0,4931.0,326438.0,185641.0,24697.0,26307.0,254028.0,159334.0,266341.0,233014.0,211306.0,42722.0,227823.0,33327.0,252520.0
Pennsylvania,42,414766.0,395125.0,6458898.0,47185.0,569837.0,861004.0,813819.0,372242.0,371269.0,566836.0,3001.0,973.0,730829.0,747007.0,690454.0,661713.0,69116.0,936552.0,42520.0,19641.0,979072.0,51089.0,583552.0,532463.0,44231.0,650210.0,876036.0,558267.0,556314.0,646976.0,3234.0,820423.0,54505.0,56553.0,874928.0,920267.0,1953.0,435318.0,414894.0,12587979.0,6129081.0,973248.0,45301.0,20424.0,1018549.0,587386.0,66535.0,72913.0,727889.0,514473.0,720748.0,642741.0,619446.0,108443.0,769573.0,78007.0,836108.0
Rhode Island,44,31753.0,31151.0,536763.0,2828.0,44605.0,69201.0,66373.0,27871.0,27781.0,44491.0,114.0,90.0,61593.0,62104.0,58514.0,56764.0,4829.0,75845.0,2524.0,602.0,78369.0,3763.0,57184.0,53421.0,2438.0,50928.0,73238.0,43734.0,43666.0,50541.0,387.0,71859.0,3563.0,3590.0,75422.0,75676.0,68.0,34184.0,33119.0,1040879.0,504116.0,78759.0,1930.0,1065.0,80689.0,55694.0,4765.0,6479.0,62139.0,49215.0,59649.0,53385.0,53169.0,8970.0,65319.0,6264.0,70084.0
South Carolina,45,170544.0,163826.0,2527081.0,32635.0,234215.0,303194.0,270559.0,126924.0,126604.0,233085.0,1130.0,320.0,291336.0,307659.0,260103.0,240093.0,51243.0,379691.0,19818.0,6718.0,399509.0,38723.0,225594.0,186871.0,35354.0,271628.0,312281.0,178788.0,178410.0,270449.0,1179.0,289716.0,44672.0,47556.0,334388.0,347635.0,378.0,178229.0,171605.0,4858485.0,2331404.0,389436.0,21423.0,6624.0,410859.0,225907.0,48046.0,49723.0,266743.0,176184.0,280743.0,222554.0,195250.0,71493.0,256544.0,58189.0,304590.0
South Dakota,46,35491.0,33496.0,421916.0,5312.0,37607.0,56779.0,51467.0,22835.0,22812.0,37459.0,148.0,23.0,48231.0,47806.0,42354.0,40913.0,7318.0,68502.0,4547.0,1995.0,73049.0,6181.0,40549.0,34368.0,4306.0,38078.0,52876.0,31753.0,31699.0,37875.0,203.0,44746.0,5031.0,5452.0,49777.0,57182.0,54.0,37117.0,35266.0,846821.0,424905.0,72688.0,4799.0,1851.0,77487.0,41572.0,6213.0,8762.0,51101.0,32810.0,49842.0,42938.0,40711.0,10390.0,44352.0,6904.0,50565.0
Tennessee,47,236283.0,228307.0,3376775.0,41053.0,288899.0,406294.0,365241.0,162897.0,162546.0,287060.0,1839.0,351.0,399876.0,422141.0,366943.0,342403.0,57473.0,512485.0,25776.0,7976.0,538261.0,43609.0,310735.0,267126.0,42687.0,329832.0,408521.0,235004.0,234143.0,328196.0,1636.0,395744.0,57691.0,55198.0,453435.0,451208.0,861.0,246897.0,237448.0,6547663.0,3170888.0,533282.0,28821.0,9449.0,562103.0,305992.0,64794.0,59906.0,373405.0,246086.0,397974.0,323646.0,285981.0,87424.0,361633.0,74328.0,426427.0
