NAME,state,county,Estimate!!Total!!Income in the past 12 months below poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months below poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months below poverty level!!85 years and over,Estimate!!Total!!Income in the past 12 months below poverty level,Estimate!!Total,Estimate!!Total!!Income in the past 12 months below poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months below poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months below poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level,Estimate!!Total!!Income in the past 12 months at or above poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!85 years and over
"Warren County, Georgia",13,301,40.0,201.0,14.0,1387.0,5271.0,199.0,115.0,689.0,129.0,3884.0,309.0,193.0,1987.0,180.0,288.0,838.0,89.0
"Bryan County, Georgia",13,029,53.0,303.0,180.0,5020.0,35649.0,684.0,596.0,2668.0,536.0,30629.0,2940.0,2300.0,17464.0,3317.0,811.0,3579.0,218.0
"Camden County, Georgia",13,039,146.0,553.0,6.0,6546.0,50749.0,777.0,807.0,3304.0,953.0,44203.0,3328.0,3759.0,25790.0,3111.0,1694.0,6193.0,328.0
"Early County, Georgia",13,099,102.0,369.0,96.0,2938.0,10185.0,445.0,402.0,1223.0,301.0,7247.0,401.0,440.0,3721.0,552.0,437.0,1519.0,177.0
"Coffee County, Georgia",13,069,268.0,1014.0,130.0,8703.0,39068.0,1226.0,1049.0,4051.0,965.0,30365.0,2392.0,2587.0,16471.0,2208.0,1306.0,5055.0,346.0
"Gilmer County, Georgia",13,123,198.0,670.0,17.0,4842.0,29660.0,571.0,520.0,2265.0,601.0,24818.0,1232.0,1280.0,12024.0,1599.0,1820.0,6406.0,457.0
"Wilkes County, Georgia",13,317,89.0,221.0,62.0,2334.0,9769.0,241.0,361.0,1071.0,289.0,7435.0,381.0,297.0,3773.0,450.0,509.0,1749.0,276.0
"Gordon County, Georgia",13,129,355.0,951.0,78.0,11232.0,56084.0,1478.0,1306.0,5272.0,1792.0,44852.0,3072.0,3179.0,25646.0,3207.0,1930.0,7198.0,620.0
"Cherokee County, Georgia",13,057,785.0,1961.0,289.0,19423.0,239920.0,2244.0,2233.0,10027.0,1884.0,220497.0,18882.0,15316.0,124853.0,20083.0,7359.0,32079.0,1925.0
"Lee County, Georgia",13,177,108.0,271.0,105.0,3907.0,28308.0,625.0,608.0,1736.0,454.0,24401.0,2235.0,1695.0,13671.0,2109.0,827.0,3728.0,136.0
"Greene County, Georgia",13,133,125.0,424.0,16.0,3736.0,16786.0,613.0,262.0,1970.0,326.0,13050.0,758.0,551.0,5507.0,700.0,1243.0,4078.0,213.0
"Cook County, Georgia",13,075,183.0,400.0,37.0,4080.0,16985.0,511.0,537.0,2045.0,367.0,12905.0,1040.0,792.0,6982.0,1099.0,658.0,2177.0,157.0
"Fulton County, Georgia",13,121,3345.0,14839.0,1452.0,149412.0,989542.0,17739.0,17644.0,79482.0,14911.0,840130.0,59789.0,56700.0,519005.0,61056.0,27097.0,106081.0,10402.0
"Lumpkin County, Georgia",13,187,63.0,764.0,87.0,5249.0,30533.0,300.0,310.0,3441.0,284.0,25284.0,1676.0,1397.0,13905.0,1785.0,1353.0,4781.0,387.0
"Miller County, Georgia",13,201,104.0,132.0,19.0,1301.0,5658.0,138.0,108.0,580.0,220.0,4357.0,246.0,305.0,2292.0,305.0,365.0,733.0,111.0
