NAME,state,county,Estimate!!Total!!Income in the past 12 months below poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months below poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months below poverty level!!85 years and over,Estimate!!Total!!Income in the past 12 months below poverty level,Estimate!!Total,Estimate!!Total!!Income in the past 12 months below poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months below poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months below poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level,Estimate!!Total!!Income in the past 12 months at or above poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!85 years and over
"Swift County, Minnesota",27,151,75.0,131.0,63.0,1223.0,9271.0,237.0,128.0,533.0,56.0,8048.0,554.0,537.0,4030.0,592.0,570.0,1531.0,234.0
"Holmes County, Mississippi",28,051,243.0,714.0,68.0,7565.0,17358.0,1050.0,856.0,3870.0,764.0,9793.0,720.0,519.0,5285.0,808.0,579.0,1730.0,152.0
"Amite County, Mississippi",28,005,159.0,518.0,67.0,2999.0,12354.0,225.0,298.0,1409.0,323.0,9355.0,607.0,493.0,4629.0,640.0,612.0,2065.0,309.0
"Calhoun County, Mississippi",28,013,114.0,482.0,85.0,3577.0,14241.0,487.0,524.0,1540.0,345.0,10664.0,626.0,522.0,5812.0,835.0,679.0,1975.0,215.0
"Tishomingo County, Mississippi",28,141,209.0,441.0,96.0,3423.0,19203.0,388.0,277.0,1789.0,223.0,15780.0,1164.0,1025.0,7951.0,1192.0,970.0,3206.0,272.0
"Wayne County, Mississippi",28,153,339.0,515.0,3.0,4443.0,20198.0,608.0,350.0,2140.0,488.0,15755.0,1188.0,1244.0,8599.0,1072.0,838.0,2517.0,297.0
"Austin County, Texas",48,015,138.0,296.0,151.0,3159.0,29295.0,325.0,384.0,1425.0,440.0,26136.0,2025.0,1913.0,13605.0,1970.0,1329.0,4882.0,412.0
"Kenedy County, Texas",48,261,0.0,20.0,1.0,42.0,595.0,5.0,0.0,11.0,5.0,553.0,41.0,89.0,272.0,27.0,29.0,74.0,21.0
"Nueces County, Texas",48,355,1825.0,6024.0,687.0,57686.0,352632.0,6460.0,8176.0,28574.0,5940.0,294946.0,23208.0,20718.0,166072.0,24336.0,13039.0,43420.0,4153.0
"Colorado County, Texas",48,089,112.0,296.0,24.0,2242.0,20689.0,380.0,177.0,1041.0,212.0,18447.0,1430.0,1330.0,8660.0,1351.0,1179.0,3985.0,512.0
"San Patricio County, Texas",48,409,280.0,1122.0,82.0,10856.0,66214.0,1703.0,1601.0,4824.0,1244.0,55358.0,4512.0,4259.0,30629.0,4753.0,2588.0,7920.0,697.0
"Rains County, Texas",48,379,117.0,342.0,0.0,1261.0,11382.0,53.0,110.0,596.0,43.0,10121.0,751.0,612.0,4968.0,706.0,792.0,2170.0,122.0
"Randall County, Texas",48,381,258.0,1029.0,77.0,11236.0,129832.0,1146.0,1069.0,6730.0,927.0,118596.0,9724.0,9448.0,65050.0,9024.0,5510.0,17882.0,1958.0
"Real County, Texas",48,385,56.0,107.0,8.0,751.0,3292.0,49.0,153.0,345.0,33.0,2541.0,116.0,119.0,953.0,199.0,411.0,668.0,75.0
"San Saba County, Texas",48,411,36.0,80.0,0.0,792.0,5244.0,117.0,98.0,346.0,115.0,4452.0,234.0,238.0,2066.0,338.0,427.0,1043.0,106.0
"Schleicher County, Texas",48,413,9.0,90.0,29.0,452.0,3061.0,37.0,41.0,200.0,46.0,2609.0,310.0,185.0,1310.0,223.0,138.0,415.0,28.0
"Sterling County, Texas",48,431,0.0,10.0,3.0,39.0,1103.0,4.0,4.0,11.0,7.0,1064.0,111.0,80.0,586.0,121.0,33.0,129.0,4.0
"Zavala County, Texas",48,507,128.0,266.0,119.0,4150.0,11935.0,847.0,643.0,1416.0,731.0,7785.0,347.0,451.0,4706.0,564.0,415.0,1253.0,49.0
"Calhoun County, Texas",48,057,90.0,324.0,109.0,3041.0,21501.0,406.0,416.0,1455.0,241.0,18460.0,1387.0,1297.0,10074.0,1604.0,919.0,2815.0,364.0
"Carson County, Texas",48,065,13.0,46.0,17.0,378.0,5962.0,25.0,54.0,157.0,66.0,5584.0,461.0,405.0,2859.0,489.0,320.0,943.0,107.0
"Foard County, Texas",48,155,0.0,25.0,0.0,95.0,1373.0,9.0,3.0,55.0,3.0,1278.0,79.0,59.0,628.0,109.0,148.0,210.0,45.0
"Freestone County, Texas",48,161,199.0,388.0,32.0,3105.0,18037.0,335.0,356.0,1432.0,363.0,14932.0,1205.0,1049.0,7417.0,1191.0,1006.0,2765.0,299.0
"Goliad County, Texas",48,175,141.0,140.0,25.0,1267.0,7431.0,226.0,188.0,438.0,109.0,6164.0,370.0,225.0,3285.0,479.0,527.0,1229.0,49.0
"Hamilton County, Texas",48,193,46.0,150.0,58.0,1303.0,7971.0,151.0,198.0,657.0,43.0,6668.0,383.0,325.0,3258.0,519.0,485.0,1419.0,279.0
"Hardeman County, Texas",48,197,4.0,94.0,15.0,494.0,3928.0,81.0,47.0,228.0,25.0,3434.0,317.0,191.0,1696.0,242.0,215.0,665.0,108.0
"Mitchell County, Texas",48,335,99.0,81.0,2.0,559.0,6164.0,62.0,16.0,268.0,31.0,5605.0,363.0,470.0,2884.0,563.0,344.0,803.0,178.0
"Briscoe County, Texas",48,045,19.0,50.0,2.0,238.0,1523.0,14.0,17.0,123.0,13.0,1285.0,62.0,63.0,668.0,99.0,130.0,232.0,31.0
"Lavaca County, Texas",48,285,130.0,297.0,126.0,2271.0,19490.0,281.0,337.0,957.0,143.0,17219.0,1439.0,1147.0,8155.0,1357.0,1246.0,3456.0,419.0
"Terry County, Texas",48,445,102.0,50.0,49.0,1807.0,11499.0,288.0,290.0,808.0,220.0,9692.0,916.0,910.0,4828.0,807.0,500.0,1586.0,145.0
"Jeff Davis County, Texas",48,243,0.0,45.0,0.0,142.0,2172.0,0.0,0.0,97.0,0.0,2030.0,106.0,89.0,764.0,178.0,131.0,728.0,34.0
"Webb County, Texas",48,479,1877.0,5798.0,1053.0,80742.0,268522.0,12255.0,13902.0,35300.0,10557.0,187780.0,17337.0,16849.0,108001.0,19746.0,4945.0,18981.0,1921.0
"Jim Hogg County, Texas",48,247,36.0,137.0,12.0,1431.0,5232.0,192.0,266.0,591.0,197.0,3801.0,261.0,207.0,1699.0,515.0,292.0,757.0,70.0
"Montgomery County, Texas",48,339,1899.0,5330.0,717.0,54526.0,550453.0,6764.0,6149.0,26776.0,6891.0,495927.0,42747.0,39590.0,277985.0,44134.0,16767.0,69351.0,5353.0
"Dallam County, Texas",48,111,10.0,20.0,1.0,1001.0,7204.0,247.0,205.0,462.0,56.0,6203.0,733.0,543.0,3386.0,497.0,245.0,726.0,73.0
"Armstrong County, Texas",48,011,3.0,33.0,0.0,135.0,1845.0,11.0,26.0,57.0,5.0,1710.0,117.0,95.0,914.0,134.0,91.0,322.0,37.0
"Castro County, Texas",48,069,43.0,108.0,5.0,1201.0,7662.0,240.0,235.0,471.0,99.0,6461.0,525.0,528.0,3364.0,618.0,264.0,1042.0,120.0
"Kleberg County, Texas",48,273,161.0,347.0,105.0,7727.0,29557.0,975.0,931.0,4560.0,648.0,21830.0,1685.0,1657.0,12097.0,1718.0,1070.0,3309.0,294.0
"Willacy County, Texas",48,489,339.0,704.0,55.0,6657.0,20179.0,984.0,763.0,3053.0,759.0,13522.0,896.0,857.0,7936.0,968.0,619.0,2012.0,234.0
"Crosby County, Texas",48,107,31.0,128.0,26.0,1194.0,5780.0,163.0,149.0,529.0,168.0,4586.0,347.0,293.0,2307.0,471.0,308.0,774.0,86.0
"Fisher County, Texas",48,151,36.0,120.0,0.0,617.0,3840.0,41.0,73.0,279.0,68.0,3223.0,155.0,222.0,1604.0,228.0,280.0,646.0,88.0
"Duval County, Texas",48,131,81.0,291.0,77.0,2751.0,10738.0,386.0,439.0,1227.0,250.0,7987.0,655.0,449.0,4396.0,665.0,606.0,1101.0,115.0
"Blanco County, Texas",48,031,61.0,162.0,26.0,1056.0,11104.0,52.0,155.0,477.0,123.0,10048.0,624.0,357.0,5030.0,668.0,689.0,2537.0,143.0
"Jasper County, Texas",48,241,153.0,758.0,54.0,5751.0,34406.0,614.0,827.0,2671.0,674.0,28655.0,2264.0,1706.0,14584.0,2326.0,1638.0,5426.0,711.0
"Kinney County, Texas",48,271,38.0,113.0,0.0,640.0,3437.0,27.0,43.0,304.0,115.0,2797.0,191.0,85.0,1550.0,194.0,84.0,565.0,128.0
"Deaf Smith County, Texas",48,117,144.0,265.0,45.0,3248.0,18631.0,600.0,580.0,1288.0,326.0,15383.0,1293.0,1356.0,8347.0,1711.0,561.0,1904.0,211.0
"Galveston County, Texas",48,167,958.0,4374.0,565.0,42158.0,320046.0,5221.0,4471.0,21679.0,4890.0,277888.0,21657.0,20398.0,156134.0,22613.0,11256.0,42402.0,3428.0
"La Salle County, Texas",48,283,77.0,107.0,0.0,786.0,6471.0,96.0,50.0,324.0,132.0,5685.0,475.0,474.0,3209.0,394.0,254.0,841.0,38.0
"Roberts County, Texas",48,393,7.0,0.0,3.0,106.0,867.0,0.0,0.0,36.0,60.0,761.0,57.0,49.0,327.0,93.0,76.0,144.0,15.0
"Tyler County, Texas",48,457,148.0,314.0,64.0,2798.0,18754.0,244.0,246.0,1472.0,310.0,15956.0,1157.0,948.0,7353.0,1117.0,1271.0,3735.0,375.0
"Wheeler County, Texas",48,483,36.0,79.0,12.0,972.0,5381.0,133.0,134.0,455.0,123.0,4409.0,409.0,301.0,2277.0,289.0,236.0,784.0,113.0
"Bowie County, Texas",48,037,565.0,1358.0,206.0,15158.0,88265.0,1751.0,2026.0,7672.0,1580.0,73107.0,5742.0,5155.0,38844.0,5822.0,3884.0,12373.0,1287.0
"Brewster County, Texas",48,043,39.0,226.0,6.0,1117.0,9009.0,40.0,60.0,691.0,55.0,7892.0,493.0,495.0,3991.0,512.0,580.0,1681.0,140.0
"Kent County, Texas",48,263,0.0,34.0,4.0,77.0,707.0,9.0,0.0,11.0,19.0,630.0,25.0,60.0,286.0,44.0,51.0,158.0,6.0
"Smith County, Texas",48,423,1050.0,3756.0,418.0,36119.0,219948.0,3716.0,5357.0,18460.0,3362.0,183829.0,14170.0,12973.0,98628.0,15263.0,10389.0,29364.0,3042.0
"Crockett County, Texas",48,105,20.0,126.0,6.0,739.0,3559.0,136.0,175.0,223.0,53.0,2820.0,179.0,171.0,1516.0,270.0,133.0,544.0,7.0
"Hardin County, Texas",48,199,273.0,1171.0,128.0,7010.0,55794.0,661.0,742.0,3302.0,733.0,48784.0,3935.0,3698.0,26424.0,4051.0,2308.0,7761.0,607.0
"Howard County, Texas",48,227,139.0,607.0,58.0,5301.0,31610.0,642.0,712.0,2737.0,406.0,26309.0,2051.0,1917.0,14848.0,2223.0,1305.0,3574.0,391.0
"Leon County, Texas",48,289,158.0,382.0,7.0,2824.0,16995.0,400.0,422.0,1187.0,268.0,14171.0,885.0,915.0,6612.0,1005.0,1030.0,3228.0,496.0
"Montague County, Texas",48,337,100.0,449.0,47.0,2711.0,19076.0,475.0,216.0,1317.0,107.0,16365.0,1222.0,1109.0,7954.0,1272.0,1176.0,3311.0,321.0
"Panola County, Texas",48,365,26.0,542.0,51.0,3623.0,22836.0,440.0,471.0,1654.0,439.0,19213.0,1018.0,1153.0,10016.0,1857.0,1306.0,3522.0,341.0
"Millard County, Utah",49,027,42.0,80.0,32.0,1436.0,12594.0,210.0,252.0,622.0,198.0,11158.0,1144.0,907.0,5383.0,1223.0,554.0,1763.0,184.0
"Washington County, Utah",49,053,584.0,1966.0,416.0,19719.0,158546.0,2827.0,2348.0,9769.0,1809.0,138827.0,12313.0,11223.0,64063.0,12452.0,9926.0,25247.0,3603.0
"Kane County, Utah",49,025,16.0,188.0,38.0,924.0,7231.0,103.0,54.0,514.0,11.0,6307.0,437.0,469.0,2787.0,635.0,341.0,1454.0,184.0
"Grand County, Utah",49,019,48.0,73.0,20.0,795.0,9452.0,0.0,100.0,530.0,24.0,8657.0,590.0,525.0,4718.0,674.0,348.0,1608.0,194.0
"Rich County, Utah",49,033,3.0,4.0,3.0,372.0,2343.0,140.0,37.0,107.0,78.0,1971.0,217.0,176.0,826.0,205.0,83.0,386.0,78.0
"Wasatch County, Utah",49,051,10.0,127.0,13.0,2167.0,30249.0,317.0,300.0,1101.0,299.0,28082.0,3257.0,2540.0,14851.0,2967.0,762.0,3449.0,256.0
"Box Elder County, Utah",49,003,102.0,420.0,63.0,4879.0,52565.0,776.0,909.0,2257.0,352.0,47686.0,4952.0,4747.0,23963.0,5220.0,2004.0,6070.0,730.0
"Iron County, Utah",49,021,198.0,507.0,0.0,9645.0,49101.0,1282.0,1044.0,5745.0,869.0,39456.0,3701.0,3814.0,20753.0,3580.0,1684.0,5546.0,378.0
"Sevier County, Utah",49,041,123.0,289.0,32.0,2779.0,20691.0,385.0,462.0,1290.0,198.0,17912.0,2071.0,1242.0,8534.0,1827.0,952.0,3014.0,272.0
"Weber County, Utah",49,057,724.0,2312.0,412.0,27753.0,244770.0,3159.0,3768.0,14298.0,3080.0,217017.0,20476.0,19362.0,120422.0,20708.0,6949.0,26160.0,2940.0
"Duchesne County, Utah",49,013,74.0,155.0,25.0,2630.0,19784.0,320.0,432.0,1314.0,310.0,17154.0,1945.0,1946.0,8590.0,1799.0,608.0,2061.0,205.0
"San Juan County, Utah",49,037,146.0,366.0,51.0,3951.0,14862.0,580.0,580.0,1851.0,377.0,10911.0,1109.0,840.0,5479.0,1237.0,406.0,1653.0,187.0
"Salt Lake County, Utah",49,035,2676.0,7320.0,1067.0,107925.0,1106418.0,12408.0,13338.0,60240.0,10876.0,998493.0,91760.0,90076.0,570782.0,88566.0,29119.0,116734.0,11456.0
"Uintah County, Utah",49,047,141.0,373.0,51.0,4279.0,35850.0,644.0,546.0,2082.0,442.0,31571.0,3640.0,3483.0,16604.0,3371.0,840.0,3337.0,296.0
"Daggett County, Utah",49,009,0.0,9.0,4.0,23.0,494.0,0.0,0.0,10.0,0.0,471.0,50.0,25.0,226.0,47.0,4.0,108.0,11.0
"Davis County, Utah",49,011,458.0,1284.0,247.0,18764.0,338323.0,2685.0,2323.0,9743.0,2024.0,319559.0,36401.0,33453.0,170328.0,34082.0,9474.0,32829.0,2992.0
"Wayne County, Utah",49,055,28.0,50.0,8.0,225.0,2651.0,19.0,4.0,91.0,25.0,2426.0,217.0,166.0,1137.0,251.0,105.0,524.0,26.0
"Carbon County, Utah",49,007,31.0,326.0,16.0,3156.0,19967.0,288.0,350.0,1866.0,279.0,16811.0,1600.0,1248.0,8170.0,1613.0,952.0,2900.0,328.0
"Emery County, Utah",49,015,34.0,50.0,25.0,1298.0,10180.0,308.0,162.0,578.0,141.0,8882.0,929.0,690.0,4223.0,874.0,440.0,1613.0,113.0
"Morgan County, Utah",49,029,38.0,70.0,9.0,336.0,11363.0,10.0,37.0,154.0,18.0,11027.0,1300.0,1171.0,5282.0,1499.0,403.0,1312.0,60.0
"Cache County, Utah",49,005,234.0,566.0,83.0,18119.0,119447.0,1862.0,2305.0,11924.0,1145.0,101328.0,10553.0,10698.0,54623.0,10803.0,3025.0,10397.0,1229.0
"Garfield County, Utah",49,017,6.0,45.0,40.0,857.0,4809.0,117.0,140.0,387.0,122.0,3952.0,261.0,229.0,1956.0,317.0,255.0,831.0,103.0
"Juab County, Utah",49,023,8.0,104.0,6.0,1229.0,10794.0,255.0,241.0,509.0,106.0,9565.0,1008.0,962.0,4823.0,1195.0,322.0,1112.0,143.0
"Rutland County, Vermont",50,021,238.0,892.0,193.0,6100.0,57156.0,495.0,504.0,3347.0,431.0,51056.0,3076.0,2527.0,26757.0,3344.0,2982.0,11159.0,1211.0
"Orleans County, Vermont",50,019,329.0,666.0,103.0,3641.0,26061.0,200.0,284.0,1789.0,270.0,22420.0,1540.0,1278.0,11206.0,1621.0,1240.0,5120.0,415.0
"Grand Isle County, Vermont",50,013,14.0,102.0,2.0,528.0,6922.0,48.0,11.0,291.0,60.0,6394.0,349.0,333.0,3402.0,391.0,298.0,1535.0,86.0
"Orange County, Vermont",50,017,73.0,460.0,20.0,3064.0,28364.0,270.0,244.0,1706.0,291.0,25300.0,1499.0,1423.0,13281.0,1584.0,1438.0,5575.0,500.0
"Chittenden County, Vermont",50,007,478.0,1379.0,236.0,17916.0,152414.0,1269.0,1209.0,12094.0,1251.0,134498.0,7691.0,8086.0,79293.0,9440.0,5557.0,21836.0,2595.0
"Lamoille County, Vermont",50,015,121.0,294.0,84.0,3574.0,24668.0,451.0,376.0,1965.0,283.0,21094.0,1306.0,1223.0,11713.0,1506.0,1024.0,3987.0,335.0
"Windsor County, Vermont",50,027,177.0,880.0,77.0,5452.0,54489.0,478.0,511.0,2886.0,443.0,49037.0,2950.0,2538.0,24974.0,3168.0,3470.0,10989.0,948.0
"Caledonia County, Vermont",50,005,96.0,377.0,90.0,3611.0,29294.0,317.0,348.0,2106.0,277.0,25683.0,1617.0,1385.0,13132.0,1796.0,1438.0,5814.0,501.0
"Tazewell County, Virginia",51,185,244.0,873.0,158.0,6550.0,40559.0,711.0,895.0,3318.0,351.0,34009.0,1978.0,1711.0,17459.0,2383.0,2433.0,7420.0,625.0
"Windham County, Vermont",50,025,192.0,861.0,91.0,5574.0,41529.0,567.0,427.0,3029.0,407.0,35955.0,2114.0,1858.0,18261.0,2237.0,2165.0,8481.0,839.0
"Addison County, Vermont",50,001,111.0,520.0,65.0,2631.0,34003.0,153.0,224.0,1363.0,195.0,31372.0,1969.0,1625.0,16600.0,2196.0,1610.0,6726.0,646.0
"Washington County, Vermont",50,023,273.0,786.0,58.0,6407.0,56211.0,597.0,551.0,3391.0,751.0,49804.0,3090.0,2635.0,27150.0,3301.0,2702.0,10029.0,897.0
"Falls Church city, Virginia",51,610,0.0,37.0,0.0,377.0,14033.0,11.0,22.0,271.0,36.0,13656.0,1274.0,1005.0,7487.0,1221.0,508.0,1984.0,177.0
"Manassas Park city, Virginia",51,685,19.0,95.0,0.0,1583.0,16321.0,340.0,199.0,871.0,59.0,14738.0,1403.0,1069.0,9491.0,1022.0,357.0,1283.0,113.0
"Poquoson city, Virginia",51,735,78.0,49.0,15.0,536.0,11983.0,26.0,75.0,269.0,24.0,11447.0,842.0,542.0,6133.0,1148.0,568.0,1945.0,269.0
"Sussex County, Virginia",51,183,89.0,190.0,32.0,1382.0,7890.0,184.0,138.0,630.0,119.0,6508.0,412.0,384.0,3224.0,457.0,524.0,1396.0,111.0
"Waynesboro city, Virginia",51,820,148.0,238.0,36.0,3766.0,21633.0,466.0,535.0,2007.0,336.0,17867.0,1239.0,1260.0,9621.0,1094.0,1230.0,3038.0,385.0
"Roanoke city, Virginia",51,770,349.0,2261.0,326.0,20046.0,97694.0,2329.0,2571.0,10354.0,1856.0,77648.0,4687.0,5568.0,44336.0,4311.0,3390.0,13291.0,2065.0
"Salem city, Virginia",51,775,103.0,227.0,61.0,2095.0,23010.0,222.0,141.0,1128.0,213.0,20915.0,1499.0,1433.0,11259.0,1262.0,1159.0,3722.0,581.0
"Norfolk city, Virginia",51,710,784.0,3893.0,452.0,43383.0,220136.0,4455.0,5857.0,24219.0,3723.0,176753.0,10958.0,13170.0,110569.0,10001.0,5908.0,23039.0,3108.0
"Charlotte County, Virginia",51,037,49.0,441.0,77.0,2859.0,11873.0,262.0,249.0,1342.0,439.0,9014.0,421.0,503.0,4403.0,633.0,710.0,2103.0,241.0
"Fairfax County, Virginia",51,059,3094.0,6525.0,1213.0,69895.0,1133591.0,7203.0,7252.0,38206.0,6402.0,1063696.0,83792.0,80939.0,617325.0,82802.0,35550.0,149163.0,14125.0
"Greensville County, Virginia",51,081,50.0,223.0,9.0,1407.0,8444.0,236.0,83.0,641.0,165.0,7037.0,403.0,506.0,3690.0,470.0,434.0,1443.0,91.0
"James City County, Virginia",51,095,177.0,529.0,56.0,5695.0,73195.0,775.0,549.0,3269.0,340.0,67500.0,4251.0,3731.0,31928.0,5402.0,5315.0,14807.0,2066.0
"Russell County, Virginia",51,167,265.0,1004.0,195.0,5276.0,27078.0,321.0,365.0,2662.0,464.0,21802.0,1315.0,1103.0,11497.0,1578.0,1377.0,4534.0,398.0
"Smyth County, Virginia",51,173,273.0,837.0,65.0,5818.0,30324.0,394.0,553.0,3117.0,579.0,24506.0,1502.0,1187.0,12617.0,1755.0,1802.0,5123.0,520.0
"Lexington city, Virginia",51,678,20.0,53.0,18.0,826.0,3820.0,23.0,0.0,633.0,79.0,2994.0,51.0,195.0,1306.0,235.0,259.0,822.0,126.0
"Campbell County, Virginia",51,031,439.0,705.0,201.0,6414.0,54494.0,620.0,488.0,3457.0,504.0,48080.0,3068.0,2836.0,26178.0,3291.0,2701.0,8995.0,1011.0
"Henry County, Virginia",51,089,498.0,1204.0,126.0,10347.0,50886.0,1245.0,948.0,5210.0,1116.0,40539.0,1914.0,2125.0,20111.0,2682.0,3506.0,9172.0,1029.0
"King George County, Virginia",51,099,34.0,95.0,10.0,1452.0,25647.0,206.0,158.0,727.0,222.0,24195.0,2214.0,1823.0,13667.0,1958.0,793.0,3427.0,313.0
"Lancaster County, Virginia",51,103,48.0,206.0,28.0,983.0,10713.0,21.0,78.0,530.0,72.0,9730.0,478.0,452.0,3735.0,577.0,1088.0,2830.0,570.0
"Lee County, Virginia",51,105,487.0,423.0,61.0,5414.0,22591.0,448.0,444.0,3128.0,423.0,17177.0,1069.0,883.0,8660.0,1259.0,1048.0,4024.0,234.0
"Mathews County, Virginia",51,115,37.0,242.0,0.0,942.0,8713.0,93.0,74.0,427.0,69.0,7771.0,274.0,243.0,3530.0,582.0,708.0,2121.0,313.0
"Middlesex County, Virginia",51,119,54.0,251.0,71.0,874.0,10353.0,36.0,71.0,373.0,18.0,9479.0,577.0,442.0,4172.0,545.0,1051.0,2526.0,166.0
"Prince George County, Virginia",51,149,22.0,151.0,9.0,3142.0,33926.0,396.0,450.0,1744.0,370.0,30784.0,2341.0,1973.0,17079.0,2553.0,1557.0,5016.0,265.0
"Rockingham County, Virginia",51,165,459.0,966.0,209.0,7401.0,77499.0,522.0,683.0,3866.0,696.0,70098.0,5258.0,4418.0,36614.0,5808.0,4052.0,12242.0,1706.0
"Scott County, Virginia",51,169,308.0,613.0,115.0,3923.0,21138.0,296.0,305.0,2034.0,252.0,17215.0,924.0,886.0,8484.0,1245.0,1346.0,4008.0,322.0
"Surry County, Virginia",51,181,48.0,136.0,14.0,839.0,6600.0,78.0,69.0,409.0,85.0,5761.0,299.0,280.0,3117.0,360.0,303.0,1233.0,169.0
"Appomattox County, Virginia",51,011,112.0,124.0,72.0,2096.0,15487.0,275.0,251.0,1115.0,147.0,13391.0,929.0,737.0,6930.0,977.0,789.0,2750.0,279.0
"Franklin County, Virginia",51,067,434.0,1143.0,102.0,8940.0,54475.0,910.0,1031.0,4426.0,894.0,45535.0,2619.0,2316.0,22426.0,2840.0,3449.0,11159.0,726.0
"King and Queen County, Virginia",51,097,22.0,267.0,0.0,1165.0,7042.0,148.0,74.0,418.0,236.0,5877.0,314.0,306.0,3131.0,248.0,434.0,1342.0,102.0
"Montgomery County, Virginia",51,121,148.0,964.0,118.0,21533.0,88706.0,732.0,828.0,18109.0,634.0,67173.0,4560.0,4088.0,38922.0,4274.0,3266.0,10953.0,1110.0
"New Kent County, Virginia",51,127,9.0,160.0,8.0,992.0,20482.0,39.0,215.0,485.0,76.0,19490.0,1527.0,1219.0,10701.0,1204.0,778.0,3864.0,197.0
"Cumberland County, Virginia",51,049,70.0,375.0,27.0,1880.0,9709.0,146.0,273.0,738.0,251.0,7829.0,354.0,314.0,4464.0,558.0,390.0,1565.0,184.0
"Goochland County, Virginia",51,075,158.0,129.0,59.0,1136.0,21302.0,94.0,26.0,562.0,108.0,20166.0,1324.0,995.0,10216.0,1502.0,1142.0,4702.0,285.0
"Halifax County, Virginia",51,083,445.0,819.0,103.0,5145.0,34049.0,756.0,391.0,2389.0,242.0,28904.0,1723.0,1567.0,14386.0,2430.0,1828.0,6244.0,726.0
"Madison County, Virginia",51,113,74.0,237.0,13.0,1070.0,12940.0,75.0,51.0,583.0,37.0,11870.0,890.0,653.0,6088.0,985.0,700.0,2274.0,280.0
"Prince William County, Virginia",51,153,748.0,2099.0,165.0,30520.0,451060.0,3992.0,4259.0,15716.0,3541.0,420540.0,37885.0,37046.0,248622.0,37275.0,10007.0,46611.0,3094.0
"Southampton County, Virginia",51,175,53.0,216.0,39.0,1665.0,16326.0,207.0,165.0,833.0,152.0,14661.0,853.0,887.0,7742.0,1110.0,873.0,2918.0,278.0
"Highland County, Virginia",51,091,34.0,45.0,6.0,268.0,2184.0,0.0,31.0,146.0,6.0,1916.0,111.0,58.0,690.0,54.0,248.0,708.0,47.0
"Brunswick County, Virginia",51,025,119.0,348.0,87.0,3082.0,14390.0,330.0,429.0,1431.0,338.0,11308.0,481.0,553.0,5808.0,649.0,826.0,2620.0,371.0
"Caroline County, Virginia",51,033,116.0,246.0,45.0,2307.0,27904.0,159.0,277.0,1235.0,229.0,25597.0,1740.0,2575.0,13258.0,1882.0,1218.0,4499.0,425.0
"Gloucester County, Virginia",51,073,78.0,504.0,58.0,3125.0,36884.0,287.0,255.0,1586.0,357.0,33759.0,2154.0,2055.0,18499.0,2342.0,2059.0,6171.0,479.0
"Northampton County, Virginia",51,131,131.0,332.0,87.0,2216.0,11631.0,228.0,370.0,885.0,183.0,9415.0,429.0,381.0,4511.0,715.0,596.0,2429.0,354.0
"Patrick County, Virginia",51,141,121.0,487.0,68.0,3264.0,17491.0,361.0,454.0,1449.0,324.0,14227.0,561.0,612.0,7181.0,804.0,1257.0,3486.0,326.0
"Powhatan County, Virginia",51,145,127.0,242.0,71.0,1383.0,25870.0,152.0,56.0,684.0,51.0,24487.0,1456.0,1315.0,13353.0,1972.0,1163.0,4937.0,291.0
"Rockbridge County, Virginia",51,163,242.0,481.0,25.0,3075.0,22276.0,328.0,245.0,1550.0,204.0,19201.0,835.0,1133.0,9350.0,1195.0,1587.0,4471.0,630.0
"Shenandoah County, Virginia",51,171,301.0,574.0,138.0,4620.0,42606.0,535.0,429.0,2363.0,280.0,37986.0,2579.0,2378.0,19486.0,2829.0,2407.0,7437.0,870.0
"Fauquier County, Virginia",51,061,227.0,609.0,52.0,4177.0,68696.0,434.0,442.0,1948.0,465.0,64519.0,4703.0,4303.0,35153.0,5845.0,2947.0,10719.0,849.0
"Charles City County, Virginia",51,036,62.0,203.0,19.0,910.0,6960.0,66.0,72.0,406.0,82.0,6050.0,242.0,245.0,3262.0,357.0,422.0,1413.0,109.0
"Culpeper County, Virginia",51,047,114.0,595.0,86.0,3986.0,48744.0,359.0,420.0,2176.0,236.0,44758.0,3659.0,3261.0,23748.0,4251.0,2091.0,7133.0,615.0
"Dinwiddie County, Virginia",51,053,102.0,658.0,85.0,3542.0,27677.0,428.0,387.0,1731.0,151.0,24135.0,1612.0,1431.0,13845.0,1734.0,1307.0,3875.0,331.0
"Greene County, Virginia",51,079,3.0,177.0,9.0,1151.0,19289.0,90.0,38.0,714.0,120.0,18138.0,1778.0,1246.0,9502.0,1401.0,814.0,3132.0,265.0
