NAME,state,county,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)
"Brown County, Minnesota",27,015,57728.0
"Chippewa County, Minnesota",27,023,54552.0
"Clearwater County, Minnesota",27,029,46291.0
"Hubbard County, Minnesota",27,057,55472.0
"Isanti County, Minnesota",27,059,72473.0
"Martin County, Minnesota",27,091,53915.0
"Mower County, Minnesota",27,099,53665.0
"Pine County, Minnesota",27,115,49138.0
"Olmsted County, Minnesota",27,109,74880.0
"Wadena County, Minnesota",27,159,45860.0
"Benton County, Minnesota",27,009,56357.0
"Freeborn County, Minnesota",27,047,52447.0
"McLeod County, Minnesota",27,085,61275.0
"Pope County, Minnesota",27,121,58132.0
"Stevens County, Minnesota",27,149,58363.0
"Swift County, Minnesota",27,151,48577.0
"Holmes County, Mississippi",28,051,21093.0
"Amite County, Mississippi",28,005,31854.0
"Calhoun County, Mississippi",28,013,36440.0
"Tishomingo County, Mississippi",28,141,37312.0
"Wayne County, Mississippi",28,153,37970.0
"Austin County, Texas",48,015,65365.0
"Kenedy County, Texas",48,261,36125.0
"Nueces County, Texas",48,355,55048.0
"Colorado County, Texas",48,089,49504.0
"San Patricio County, Texas",48,409,55229.0
"Rains County, Texas",48,379,49872.0
"Randall County, Texas",48,381,67397.0
"Real County, Texas",48,385,34813.0
"San Saba County, Texas",48,411,44698.0
"Schleicher County, Texas",48,413,55677.0
"Sterling County, Texas",48,431,59286.0
"Zavala County, Texas",48,507,30988.0
"Calhoun County, Texas",48,057,55469.0
"Carson County, Texas",48,065,70087.0
"Foard County, Texas",48,155,46354.0
"Freestone County, Texas",48,161,48731.0
"Goliad County, Texas",48,175,60492.0
"Hamilton County, Texas",48,193,47500.0
"Hardeman County, Texas",48,197,42238.0
"Mitchell County, Texas",48,335,49670.0
"Briscoe County, Texas",48,045,42647.0
"Lavaca County, Texas",48,285,53021.0
"Terry County, Texas",48,445,44975.0
"Jeff Davis County, Texas",48,243,53194.0
"Webb County, Texas",48,479,42293.0
"Jim Hogg County, Texas",48,247,32049.0
"Montgomery County, Texas",48,339,77416.0
"Dallam County, Texas",48,111,51250.0
"Armstrong County, Texas",48,011,66563.0
"Castro County, Texas",48,069,45000.0
"Kleberg County, Texas",48,273,42021.0
"Willacy County, Texas",48,489,29944.0
"Crosby County, Texas",48,107,37899.0
"Fisher County, Texas",48,151,46827.0
"Duval County, Texas",48,131,37382.0
"Blanco County, Texas",48,031,63071.0
"Jasper County, Texas",48,241,46088.0
"Kinney County, Texas",48,271,31468.0
"Deaf Smith County, Texas",48,117,51841.0
"Galveston County, Texas",48,167,69369.0
"La Salle County, Texas",48,283,51792.0
"Roberts County, Texas",48,393,73854.0
"Tyler County, Texas",48,457,43936.0
"Wheeler County, Texas",48,483,49352.0
"Bowie County, Texas",48,037,47505.0
"Brewster County, Texas",48,043,43894.0
"Kent County, Texas",48,263,45926.0
"Smith County, Texas",48,423,53511.0
"Crockett County, Texas",48,105,51152.0
"Hardin County, Texas",48,199,59105.0
"Howard County, Texas",48,227,51528.0
"Leon County, Texas",48,289,44818.0
"Montague County, Texas",48,337,51774.0
"Panola County, Texas",48,365,51569.0
"Millard County, Utah",49,027,60445.0
"Washington County, Utah",49,053,56877.0
"Kane County, Utah",49,025,48269.0
"Grand County, Utah",49,019,48673.0
"Rich County, Utah",49,033,49886.0
"Wasatch County, Utah",49,051,77449.0
"Box Elder County, Utah",49,003,59937.0
"Iron County, Utah",49,021,46809.0
"Sevier County, Utah",49,041,53020.0
"Weber County, Utah",49,057,64636.0
"Duchesne County, Utah",49,013,63919.0
"San Juan County, Utah",49,037,44680.0
"Salt Lake County, Utah",49,035,71230.0
"Uintah County, Utah",49,047,66736.0
"Daggett County, Utah",49,009,81250.0
"Davis County, Utah",49,011,79690.0
"Wayne County, Utah",49,055,44694.0
"Carbon County, Utah",49,007,50278.0
