Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2018,NY,New York,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",No,Age-adjusted Prevalence (%),80.8,,,77.7,83.5,1647952,,,
2018,NY,New York,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",No,Age-adjusted Prevalence (%),82.9,,,78.5,86.6,501216,,,
2018,NY,New York,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,No,Age-adjusted Prevalence (%),77.5,,,73.5,81,646124,,,
2018,NY,New York,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",No,Age-adjusted Prevalence (%),79.6,,,73.5,84.5,301661,,,
2018,NC,North Carolina,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",No,Age-adjusted Prevalence (%),70.8,,,65.5,75.5,1145513,,,
2018,NC,North Carolina,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",No,Age-adjusted Prevalence (%),61.4,,,51.5,70.4,308149,,,
2018,NC,North Carolina,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,No,Age-adjusted Prevalence (%),53.4,,,40.6,65.8,65441,,,
2018,NC,North Carolina,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",No,Age-adjusted Prevalence (%),80.5,,,67.1,89.3,109084,,,
2018,ND,North Dakota,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",No,Age-adjusted Prevalence (%),78.8,,,73.1,83.6,93581,,,
2018,ND,North Dakota,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",No,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,ND,North Dakota,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,No,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,ND,North Dakota,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",No,Age-adjusted Prevalence (%),66,,,49.5,79.3,8454,,,
2018,OH,Ohio,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",No,Age-adjusted Prevalence (%),82.4,,,79.6,84.9,1727819,,,
2018,OH,Ohio,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",No,Age-adjusted Prevalence (%),81.8,,,73.7,87.8,288324,,,
